D9,,,,
BookingReference,Created Date,Reference,Attendee Status,Attended
B739461,16/07/2019,A802512,Cancelled,
B739462,16/07/2019,A802513,Attending,Yes
B739463,16/07/2019,A802514,Attending,Yes
B739464,16/07/2019,A802515,Attending,No
B739465,16/07/2019,A802516,Attending,No
B739466,16/07/2019,A802517,Cancelled,
B739467,16/07/2019,A802518,Attending,Yes
B739468,16/07/2019,A802519,Attending,Yes
B739469,16/07/2019,A802520,Attending,No
B739470,16/07/2019,A802521,Cancelled,
B739471,16/07/2019,A802522,Attending,Yes
B739472,16/07/2019,A802523,Attending,No
B739473,16/07/2019,A802524,Cancelled,
B739474,16/07/2019,A802525,Attending,Yes
B739475,16/07/2019,A802526,Attending,Yes
B739476,16/07/2019,A802527,Cancelled,
B739477,16/07/2019,A802528,Attending,No
B739478,16/07/2019,A802529,Cancelled,
B739479,16/07/2019,A802530,Attending,No
B739480,16/07/2019,A802531,Attending,No
B739481,16/07/2019,A802532,Attending,Yes
B739482,16/07/2019,A802533,Attending,Yes
B739483,16/07/2019,A802534,Attending,Yes
B739484,16/07/2019,A802535,Attending,Yes
B739485,16/07/2019,A802536,Attending,Yes
B739486,16/07/2019,A802537,Attending,No
B739487,16/07/2019,A802538,Attending,Yes
B739488,16/07/2019,A802539,Attending,Yes
B739489,16/07/2019,A802540,Attending,No
B739490,16/07/2019,A802541,Attending,Yes
B739491,16/07/2019,A802542,Attending,Yes
B739492,16/07/2019,A802543,Attending,No
B739493,16/07/2019,A802544,Attending,No
B739494,16/07/2019,A802545,Attending,No
B739495,16/07/2019,A802546,Attending,Yes
B739496,16/07/2019,A802547,Attending,No
B739497,16/07/2019,A802548,Cancelled,
B739498,16/07/2019,A802549,Attending,No
B739499,16/07/2019,A802550,Attending,No
B739500,16/07/2019,A802551,Attending,Yes
B739501,16/07/2019,A802552,Attending,No
B739502,16/07/2019,A802553,Attending,Yes
B739503,16/07/2019,A802554,Attending,No
B739504,16/07/2019,A802555,Cancelled,
B739506,16/07/2019,A802557,Attending,No
B739507,16/07/2019,A802558,Attending,Yes
B739508,16/07/2019,A802559,Attending,No
B739509,16/07/2019,A802560,Attending,Yes
B739510,16/07/2019,A802561,Cancelled,Yes
B739511,16/07/2019,A802562,Cancelled,Yes
B739512,16/07/2019,A802563,Attending,No
B739513,16/07/2019,A802564,Attending,No
B739514,16/07/2019,A802565,Attending,Yes
B739515,16/07/2019,A802566,Cancelled,
B739516,16/07/2019,A802567,Attending,No
B739517,16/07/2019,A802568,Attending,Yes
B739518,16/07/2019,A802569,Attending,Yes
B739519,16/07/2019,A802570,Attending,Yes
B739520,16/07/2019,A802571,Attending,Yes
B739521,16/07/2019,A802572,Attending,No
B739522,16/07/2019,A802573,Attending,No
B739523,16/07/2019,A802574,Attending,No
B739524,16/07/2019,A802575,Attending,Yes
B739525,16/07/2019,A802576,Attending,No
B739526,16/07/2019,A802577,Attending,Yes
B739527,16/07/2019,A802578,Attending,Yes
B739528,16/07/2019,A802579,Attending,No
B739529,16/07/2019,A802580,Attending,Yes
B739530,16/07/2019,A802581,Attending,No
B739531,16/07/2019,A802582,Attending,No
B739532,16/07/2019,A802583,Attending,No
B739533,16/07/2019,A802584,Attending,No
B739534,16/07/2019,A802585,Attending,No
B739535,16/07/2019,A802586,Attending,No
B739536,16/07/2019,A802587,Attending,Yes
B739537,16/07/2019,A802588,Attending,Yes
B739538,16/07/2019,A802589,Cancelled,
B739539,16/07/2019,A802590,Attending,No
B739540,16/07/2019,A802591,Attending,Yes
B739541,16/07/2019,A802592,Attending,Yes
B739542,16/07/2019,A802593,Attending,No
B739543,16/07/2019,A802594,Attending,No
B739544,16/07/2019,A802595,Cancelled,
B739545,16/07/2019,A802596,Attending,No
B739546,16/07/2019,A802597,Attending,Yes
B739547,16/07/2019,A802598,Cancelled,
B739548,16/07/2019,A802599,Attending,No
B739549,16/07/2019,A802600,Attending,Yes
B739550,16/07/2019,A802601,Attending,No
B739551,16/07/2019,A802602,Cancelled,
B739552,16/07/2019,A802603,Attending,No
B739553,16/07/2019,A802604,Attending,No
B739554,16/07/2019,A802605,Attending,No
