D21,,,,
BookingReference,Created Date,Reference,Attendee Status,Attended
B898762,02/11/2020,A966607,Attending,
B898773,02/11/2020,A966618,Attending,
B917395,05/01/2021,A985258,Attending,
B933579,29/01/2021,A1001484,Attending,
B943256,17/02/2021,A1011194,Attending,
B960506,18/03/2021,A1028578,Attending,
B961231,19/03/2021,A1029314,Attending,
B967548,12/04/2021,A1035654,Attending,
B968144,13/04/2021,A1036253,Attending,Yes
B972169,20/04/2021,A1040289,Attending,Yes
B975239,27/04/2021,A1043372,Attending,
B975802,28/04/2021,A1043939,Attending,Yes
B976838,30/04/2021,A1044979,Attending,
B978920,06/05/2021,A1047064,Attending,
B986930,27/05/2021,A1055120,Attending,
B986939,27/05/2021,A1055129,Attending,
B988340,02/06/2021,A1056533,Attending,
B988340,02/06/2021,A1056534,Attending,Yes
B988340,02/06/2021,A1056535,Attending,Yes
B988340,02/06/2021,A1056536,Attending,
B988340,02/06/2021,A1056537,Attending,
B988340,02/06/2021,A1056538,Attending,Yes
B988340,02/06/2021,A1056539,Attending,
B988844,03/06/2021,A1057044,Attending,Yes
B988844,03/06/2021,A1057045,Attending,
B988844,23/11/2021,A1102994,Attending,Yes
B988924,03/06/2021,A1057125,Attending,
B994557,22/06/2021,A1062769,Attending,Yes
B995812,28/06/2021,A1064027,Attending,
B998989,03/08/2021,A1067260,Attending,Yes
B999583,13/08/2021,A1067862,Attending,
B1000316,24/08/2021,A1068599,Attending,
B1000349,24/08/2021,A1068633,Attending,
B1000531,27/08/2021,A1068819,Attending,
B1001306,03/09/2021,A1069604,Attending,Yes
B1001805,07/09/2021,A1070111,Attending,Yes
B1001805,07/09/2021,A1070112,Attending,
B1001922,07/09/2021,A1070230,Attending,
B1002960,15/09/2021,A1071282,Attending,Yes
B1003033,15/09/2021,A1071356,Attending,
B1003412,17/09/2021,A1071738,Attending,
B1003463,17/09/2021,A1071789,Attending,
B1004186,21/09/2021,A1072513,Attending,Yes
B1004259,21/09/2021,A1072587,Attending,
B1004261,21/09/2021,A1072589,Attending,Yes
B1004264,21/09/2021,A1072592,Attending,
B1004265,21/09/2021,A1072593,Attending,
B1004266,21/09/2021,A1072594,Attending,
B1004274,21/09/2021,A1072602,Attending,
B1004277,21/09/2021,A1072605,Attending,Yes
B1004279,21/09/2021,A1072607,Attending,
B1004283,21/09/2021,A1072611,Attending,
B1004285,21/09/2021,A1072613,Attending,Yes
B1004291,21/09/2021,A1072619,Attending,
B1004296,21/09/2021,A1072624,Attending,
