Days Since Start,Cumulative Registrations
0,2
64,3
88,4
107,5
136,6
137,7
161,8
162,9
169,10
176,11
177,12
179,13
185,14
206,16
212,23
213,26
232,27
238,28
274,29
284,30
295,32
298,33
305,34
309,37
317,39
319,41
323,61
324,70
325,74
329,76
330,77
331,80
332,86
336,91
337,97
338,102
339,104
340,106
343,108
344,116
345,123
346,138
347,139
350,141
351,143
352,149
353,152
354,154
357,161
358,163
359,177
360,190
361,193
363,194
364,198
365,199
366,205
367,207
368,216
371,220
372,233
373,253
374,278
375,291
376,292
378,311
379,318
380,333
381,344
382,349
385,381
386,392
387,409
388,423
389,432
391,433
392,444
393,479
394,491
395,520
396,537
397,538
399,606
400,629
401,654
402,669
403,670
407,671
