Days Since Start,Cumulative Registrations
0,72
1,87
2,91
5,94
7,100
12,101
14,102
15,103
16,108
19,109
29,110
39,111
41,115
42,116
47,117
55,118
69,120
75,121
85,133
86,135
89,137
90,139
92,140
96,141
101,142
103,148
104,160
105,163
109,164
110,165
117,192
118,200
119,205
120,214
121,217
122,218
124,226
125,227
126,228
128,229
131,233
132,291
133,306
134,326
135,351
138,359
139,383
140,426
141,435
142,442
143,443
145,449
146,453
147,459
148,461
149,468
151,469
152,476
153,491
154,496
155,512
156,520
158,521
159,560
160,579
161,601
162,605
166,607
167,635
168,641
169,650
170,658
171,659
173,674
174,689
175,713
176,729
177,736
180,746
181,765
182,794
183,796
