Days Since Start,Cumulative Registrations
0.0,48
1.0,61
2.0,68
5.0,69
6.0,82
7.0,124
8.0,139
9.0,144
10.0,145
13.0,146
14.0,148
15.0,149
16.0,151
17.0,237
19.0,238
20.0,266
21.0,280
22.0,284
23.0,287
24.0,298
27.0,303
28.0,335
29.0,353
30.0,488
31.0,539
32.0,543
33.0,553
34.0,670
35.0,765
36.0,827
37.0,850
38.0,869
39.0,870
41.0,887
42.0,900
43.0,994
44.0,1115
45.0,1154
46.0,1160
47.0,1174
48.0,1227
49.0,1251
50.0,1287
51.0,1353
52.0,1380
53.0,1389
54.0,1397
55.0,1427
56.0,1457
57.0,1484
58.0,1501
59.0,1517
62.0,1554
63.0,1585
64.0,1593
