NP21,,,,
BookingReference,Created Date,Reference,Attendee Status,Attended
B871340,02/09/2020,A939143,Attending,Yes
B872513,10/09/2020,A940319,Attending,No
B872514,10/09/2020,A940320,Attending,Yes
B872515,10/09/2020,A940321,Attending,Yes
B872516,10/09/2020,A940322,Attending,
B872517,10/09/2020,A940323,Attending,Yes
B872518,10/09/2020,A940324,Attending,No
B872519,10/09/2020,A940325,Attending,No
B872520,10/09/2020,A940326,Attending,
B872522,10/09/2020,A940328,Attending,Yes
B872523,10/09/2020,A940329,Attending,Yes
B872524,10/09/2020,A940330,Attending,Yes
B872528,10/09/2020,A940334,Attending,No
B872532,10/09/2020,A940338,Attending,
B872534,10/09/2020,A940340,Attending,Yes
B872537,10/09/2020,A940343,Attending,Yes
B872538,10/09/2020,A940344,Attending,Yes
B872542,10/09/2020,A940348,Attending,
B872543,10/09/2020,A940349,Attending,Yes
B872552,10/09/2020,A940358,Attending,Yes
B872553,10/09/2020,A940359,Attending,
B872554,10/09/2020,A940360,Attending,Yes
B872558,10/09/2020,A940364,Attending,
B872559,10/09/2020,A940365,Attending,Yes
B872560,10/09/2020,A940366,Attending,Yes
B872561,10/09/2020,A940367,Attending,Yes
B872563,10/09/2020,A940369,Attending,
B872565,10/09/2020,A940371,Attending,
B872566,10/09/2020,A940372,Attending,
B872568,10/09/2020,A940374,Attending,
B872569,10/09/2020,A940375,Attending,
B872571,10/09/2020,A940377,Attending,Yes
B872572,10/09/2020,A940378,Attending,Yes
B872573,10/09/2020,A940379,Attending,Yes
B872574,10/09/2020,A940380,Attending,Yes
B872575,10/09/2020,A940381,Attending,
B872578,10/09/2020,A940384,Attending,
B872580,10/09/2020,A940386,Attending,Yes
B872582,10/09/2020,A940388,Attending,Yes
B872584,10/09/2020,A940390,Attending,Yes
B872586,10/09/2020,A940392,Attending,
B872588,10/09/2020,A940394,Attending,
B872589,10/09/2020,A940395,Attending,
B872601,10/09/2020,A940407,Attending,No
B872604,10/09/2020,A940410,Attending,Yes
B872620,10/09/2020,A940426,Attending,Yes
B872622,10/09/2020,A940428,Attending,Yes
B872624,10/09/2020,A940430,Attending,
B872626,10/09/2020,A940432,Attending,
B872633,10/09/2020,A940439,Attending,
B872638,10/09/2020,A940444,Attending,Yes
B872640,10/09/2020,A940446,Attending,
B872652,10/09/2020,A940458,Attending,Yes
B872666,10/09/2020,A940472,Attending,
B872677,11/09/2020,A940483,Attending,Yes
B872684,11/09/2020,A940490,Attending,
B872687,11/09/2020,A940493,Attending,Yes
B872689,11/09/2020,A940495,Attending,Yes
B872691,11/09/2020,A940497,Attending,
B872722,11/09/2020,A940528,Attending,Yes
B872739,11/09/2020,A940545,Attending,
B872744,11/09/2020,A940550,Attending,
B872755,11/09/2020,A940561,Attending,Yes
B872759,11/09/2020,A940565,Attending,
B872770,11/09/2020,A940576,Attending,Yes
B872814,11/09/2020,A940620,Attending,
B872824,12/09/2020,A940630,Attending,Yes
B872930,14/09/2020,A940736,Attending,Yes
B872954,14/09/2020,A940760,Attending,Yes
B872960,14/09/2020,A940766,Attending,Yes
B872986,14/09/2020,A940792,Attending,Yes
B872993,14/09/2020,A940799,Attending,No
B873008,14/09/2020,A940814,Attending,No
B873342,15/09/2020,A941148,Attending,
B873367,15/09/2020,A941173,Attending,Yes
B873439,16/09/2020,A941245,Attending,
B873641,16/09/2020,A941447,Attending,
B873707,16/09/2020,A941513,Attending,Yes
B873740,16/09/2020,A941546,Attending,Yes
B873819,16/09/2020,A941626,Attending,Yes
B873850,16/09/2020,A941656,Attending,Yes
B874003,17/09/2020,A941809,Attending,
B874005,17/09/2020,A941811,Attending,No
B874006,17/09/2020,A941812,Attending,Yes
B874007,17/09/2020,A941813,Attending,Yes
B874009,17/09/2020,A941815,Attending,Yes
B874011,17/09/2020,A941817,Attending,
B874013,17/09/2020,A941819,Attending,Yes
B874014,17/09/2020,A941820,Attending,
B874015,17/09/2020,A941821,Attending,Yes
B874016,17/09/2020,A941822,Attending,Yes
B874017,17/09/2020,A941823,Attending,Yes
B874023,17/09/2020,A941829,Attending,No
B874026,17/09/2020,A941832,Attending,
B874028,17/09/2020,A941834,Attending,Yes
B874030,17/09/2020,A941836,Attending,
B874033,17/09/2020,A941839,Attending,
B874036,17/09/2020,A941842,Attending,Yes
B874037,17/09/2020,A941843,Attending,
B874038,17/09/2020,A941844,Attending,Yes
B874040,17/09/2020,A941846,Attending,Yes
B874049,17/09/2020,A941855,Attending,
B874050,17/09/2020,A941856,Attending,Yes
B874066,17/09/2020,A941872,Attending,
B874067,17/09/2020,A941873,Attending,Yes
B874085,17/09/2020,A941891,Attending,
B874092,17/09/2020,A941898,Attending,Yes
B874094,17/09/2020,A941900,Attending,Yes
B874103,17/09/2020,A941909,Attending,No
B874120,17/09/2020,A941926,Attending,Yes
B874187,17/09/2020,A941993,Attending,Yes
B874194,17/09/2020,A942000,Attending,
B874226,17/09/2020,A942032,Attending,
B874260,17/09/2020,A942066,Attending,Yes
B874338,17/09/2020,A942144,Attending,Yes
B874363,18/09/2020,A942169,Attending,Yes
B874507,18/09/2020,A942313,Attending,Yes
B874533,18/09/2020,A942339,Attending,Yes
B874838,20/09/2020,A942644,Attending,
B874906,21/09/2020,A942712,Attending,
B874908,21/09/2020,A942714,Attending,
B875022,21/09/2020,A942830,Attending,
B875033,21/09/2020,A942841,Attending,Yes
B875034,21/09/2020,A942842,Attending,Yes
B875036,21/09/2020,A942844,Attending,Yes
B875059,21/09/2020,A942867,Attending,
B875281,21/09/2020,A943089,Attending,No
B875455,22/09/2020,A943263,Attending,Yes
B875599,22/09/2020,A943407,Attending,
B875900,22/09/2020,A943708,Attending,No
B875994,22/09/2020,A943802,Attending,Yes
B877042,24/09/2020,A944851,Attending,Yes
B877723,25/09/2020,A945532,Attending,Yes
B877743,25/09/2020,A945552,Attending,Yes
B879753,28/09/2020,A947563,Attending,
B885598,07/10/2020,A953415,Attending,Yes
