Days Since Start,Cumulative Registrations
0.0,1
8.0,54
9.0,66
10.0,67
12.0,73
13.0,75
14.0,81
15.0,115
16.0,118
18.0,119
19.0,127
20.0,131
22.0,132
23.0,134
26.0,135
35.0,136
40.0,137
42.0,138
52.0,139
62.0,140
64.0,141
72.0,142
82.0,143
84.0,145
169.0,146
173.0,147
175.0,148
204.0,149
222.0,150
237.0,151
246.0,153
252.0,155
258.0,160
285.0,161
313.0,162
315.0,164
317.0,166
322.0,167
335.0,168
338.0,169
343.0,193
344.0,198
348.0,200
349.0,201
350.0,202
351.0,204
357.0,206
363.0,208
364.0,209
365.0,213
366.0,214
369.0,215
370.0,216
387.0,224
390.0,234
391.0,243
392.0,246
393.0,253
394.0,255
397.0,259
398.0,261
399.0,262
400.0,263
401.0,269
404.0,274
405.0,275
407.0,277
408.0,279
411.0,283
412.0,292
413.0,298
414.0,301
415.0,308
416.0,309
418.0,313
419.0,319
420.0,328
421.0,331
422.0,341
425.0,355
426.0,364
427.0,372
428.0,378
429.0,387
432.0,394
433.0,395
