Days Since Start,Cumulative Registrations
0.0,70
1.0,100
2.0,137
3.0,140
4.0,141
5.0,156
6.0,160
7.0,162
8.0,319
9.0,333
10.0,337
11.0,338
12.0,361
13.0,371
14.0,379
15.0,380
16.0,382
19.0,390
20.0,393
21.0,398
23.0,403
27.0,406
28.0,409
29.0,411
31.0,412
34.0,415
36.0,424
39.0,425
40.0,427
41.0,430
42.0,433
43.0,437
44.0,485
46.0,486
47.0,488
48.0,501
49.0,508
50.0,560
51.0,575
53.0,578
54.0,592
55.0,597
56.0,603
57.0,606
58.0,608
60.0,609
61.0,614
62.0,619
63.0,625
64.0,627
65.0,628
66.0,629
67.0,630
68.0,631
69.0,633
70.0,635
71.0,711
72.0,746
75.0,758
76.0,790
77.0,791
78.0,792
80.0,793
81.0,794
82.0,808
83.0,838
84.0,860
85.0,870
86.0,905
87.0,908
89.0,924
90.0,936
91.0,940
