Days Since Start,Cumulative Registrations
0.0,1
18.0,2
25.0,5
28.0,35
29.0,38
30.0,39
31.0,131
32.0,164
33.0,166
34.0,168
35.0,183
36.0,209
37.0,215
38.0,224
39.0,228
40.0,230
41.0,233
42.0,236
43.0,241
44.0,245
45.0,250
46.0,251
48.0,252
49.0,256
50.0,259
53.0,262
56.0,264
57.0,265
59.0,267
60.0,270
63.0,273
64.0,274
65.0,275
72.0,277
73.0,279
75.0,280
78.0,281
80.0,286
81.0,291
82.0,292
84.0,298
85.0,299
86.0,303
92.0,315
93.0,319
94.0,326
97.0,327
99.0,334
102.0,345
105.0,359
106.0,369
107.0,388
108.0,413
109.0,424
110.0,426
111.0,429
112.0,447
113.0,512
114.0,581
115.0,599
116.0,607
117.0,608
120.0,621
121.0,633
122.0,642
123.0,665
124.0,667
125.0,668
126.0,682
127.0,691
128.0,697
129.0,699
